allergen_id,token,token_type,canonical_name
5.0,soy protein product,derived,
5.0,soya bean fiber,derived,
5.0,dark soy sauce,derived,
5.0,soya flour,derived,
5.0,green soy bean,derived,
5.0,soya and sunflower lecithin,derived,
5.0,hydrogenated soy oil,derived,
5.0,non-gmo soybean oil,derived,
5.0,soya lecithin,derived,
5.0,soya milk,ingredient,soy
5.0,hydrolyzed soy protein,ingredient,soy
5.0,soy extract,ingredient,soy
5.0,doubanjiang,ingredient,soy
5.0,soy base,derived,
5.0,fermented soybean paste,ingredient,soy
5.0,tempeh,ingredient,soy
5.0,soy,ingredient,
5.0,soybean,ingredient,
5.0,soya,ingredient,
5.0,soy lecithin,ingredient,
5.0,tofu,ingredient,
5.0,edamame,ingredient,
6.0,whole grain durum wheat,derived,
6.0,wheat protein isolate,derived,
6.0,pre-cooked durum wheat,derived,
6.0,cooked wheat,derived,
6.0,sprouted wheat,derived,
6.0,wheat glucose-fructose syrup,derived,
6.0,wheat flour preparation,derived,
6.0,whole spelt and wheat kernels,derived,
6.0,whole wheat,derived,
6.0,durum wheat flour,derived,
6.0,caramelized malted wheat flour,derived,
6.0,pre-gelatinized wheat flour,derived,
6.0,wheat,ingredient,
6.0,wheat flour t-1050,derived,
6.0,wheat sourdough,derived,
6.0,whole rye and durum wheat sourdough,derived,
6.0,soft wheat flour,derived,
6.0,wheat protein,derived,
6.0,soft wheat,derived,
6.0,wheat starch,derived,
6.0,whole wheat bulgur,derived,
6.0,wheat and whole rye sourdough,derived,
6.0,durum wheat sourdough,derived,
6.0,wheat fiber,derived,
6.0,wheat flour type 110,derived,
6.0,durum wheat bulgur,derived,
6.0,wheat syrup,derived,
6.0,wheat flakes,derived,
6.0,khorasan wheat,derived,
6.0,whole wheat groats,derived,
6.0,wheat bran,derived,
6.0,whole wheat kernels,derived,
6.0,wheat flour type 00,derived,
6.0,wheat flour type 0,derived,
6.0,wheat grain,derived,
6.0,einkorn wheat,derived,
6.0,wheat stalk fiber,derived,
6.0,fortified wheat flour,derived,
6.0,dextrinated wheat flour,derived,
